# docs/amharic-strings-glossary.csv (693 rows, last commit eb3d283 2026-09-14) vs Ethiopic runs in src/ (heuristic regex; fragments included)
distinct Ethiopic runs in src: 1750
not present in (or a substring of) any glossary entry: 1065
glossary entries no longer found verbatim in src: በጥበቃ ላይ ያሉ, የመታወቂያ ጥያቄ ዝርዝር

src/lib/residentConstants.ts:24	ሁለተኛ ደረጃ
src/routes/woreda.dashboard.tsx:64	መታወቂያ ታግዷል
src/config/permissions.ts:518	መታወቂያ ያረጋግጡ
src/routes/woreda.dashboard.tsx:62	መታወቂያ ዳግም ታትሟል
src/routes/woreda.dashboard.tsx:65	መታወቂያ ዳግም ነቅቷል
src/routes/woreda.credentials.$requestId.index.tsx:2385	መታወቂያው ወደ
src/routes/woreda.audit.tsx:143	መታወቂያዎችን ክፈት
src/utils/amountInWords.ts:8	መቶ
src/routes/woreda.services.$requestId.index.tsx:1051	መዝገቡን ዘጋ
src/routes/woreda.residents.$residentId.print.tsx:312	መዝጋቢ
src/components/settings/RolesPermissionsTab.tsx:47	መድረክ
src/utils/ethiopianCalendar.ts:14	መጋቢት
src/routes/woreda.revenue.$paymentId.receipt.tsx:810	መግለጫ
src/routes/woreda.credentials.new.tsx:769	መጠቀም አይቻልም
src/routes/woreda.revenue.$paymentId.receipt.tsx:815	መጠን (ብር
src/components/residents/ResidentProfileTabs.tsx:56	መጫን አልተቻለም
src/routes/woreda.rental-houses.occupants.new.tsx:744	ሙሉ ስም (የአባትና አያት ስምን ጨምሮ
src/routes/woreda.reports.index.tsx:574	ሙሉ ትንታኔውን አውርድ
src/lib/residentConstants.ts:14	ሙስሊም
src/utils/amountInWords.ts:8	ሚሊዮን
src/routes/woreda.dashboard.tsx:106	ሚና ለተጠቃሚ ተሰጥቷል
src/components/settings/UsersRolesTab.tsx:433	ሚና ቀይር
src/routes/woreda.dashboard.tsx:108	ሚና ተመዝግቧል
src/routes/woreda.dashboard.tsx:110	ሚና ተሰርዟል
src/routes/woreda.dashboard.tsx:109	ሚና ተሻሽሏል
src/utils/ethiopianCalendar.ts:15	ሚያዝያ
src/routes/woreda.services.new.tsx:221	ማለፊያውን ለምን እንደተጠቀሙ ምክንያት ያስፈልጋል
src/routes/woreda.rental-accounts.$occupancyId.tsx:1041	ማመንጨት
src/routes/verify.receipt.$token.tsx:83	ማረጋገጥ ላይ
src/routes/woreda.credentials.$requestId.print.tsx:601	ማረጋገጥ አልተሳካም
src/routes/woreda.credentials.$requestId.index.tsx:1469	ማረጋገጫ አልተመዘገበም
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:722	ማረጋገጫ አልፍ
src/config/navGroups.ts:24	ማረጋገጫ እና ማጽደቅ
src/routes/woreda.dashboard.tsx:765	ማረጋገጫ የሚጠብቁ የአገልግሎት ጥያቄዎች
src/routes/woreda.rental-houses.$houseId.index.tsx:278	ማስለቀቅ
src/routes/woreda.rental-houses.$houseId.index.tsx:781	ማስለቀቅ አስገባ
src/routes/woreda.credentials.$requestId.index.tsx:2735	ማስረጃ መሻር ማረጋገጫ
src/routes/woreda.credentials.$requestId.index.tsx:2197	ማስረጃ ማዘጋጀት አልተሳካም
src/routes/woreda.credentials.$requestId.index.tsx:2231	ማስረጃ በመዘጋጀት ላይ...
src/components/residents/ResidentProfileTabs.tsx:569	ማስረጃ አልተገኘም
src/routes/woreda.credentials.$requestId.index.tsx:2157	ማስረጃ ዝግጁ ነው
src/routes/woreda.credentials.$requestId.index.tsx:2146	ማስረጃ ዝግጁነት
src/routes/woreda.credentials.$requestId.index.tsx:2721	ማስረጃ የመሻር ፈቃድ የለዎትም
src/routes/woreda.credentials.$requestId.index.tsx:2928	ማስረጃ የማገድ/የማንሳት ፈቃድ የለዎትም
src/routes/woreda.credentials.$requestId.index.tsx:2219	ማስረጃ ፈራሚ ባለሙያ በመጠበቅ ላይ
src/routes/woreda.credentials.$requestId.index.tsx:2540	ማስረጃው ለተረካቢው በአካል ተላልፏል ብዬ አረጋግጣለሁ
src/routes/woreda.credentials.$requestId.print.tsx:504	ማስረጃው ተፈርሟል እና ዝግጁ ነው
src/routes/woreda.credentials.$requestId.index.tsx:2876	ማስረጃው ታግዷል
src/routes/woreda.credentials.$requestId.print.tsx:843	ማስረጃው ገና አልተፈረመም
src/routes/woreda.settings.woreda-configuration.tsx:695	ማስቀመጥዎን አይርሱ
src/lib/residentConstants.ts:27	ማስተርስ
src/routes/woreda.revenue.index.tsx:372	ማስተካከያ በዓይነት / ቻናል
src/routes/woreda.rental-reports.tsx:329	ማስታረቂያ
src/routes/woreda.rental-houses.occupants.new.tsx:1026	ማስታወሻ ካለ
src/routes/woreda.services.new.tsx:678	ማስገባትን ያረጋግጡ
src/routes/woreda.credentials.$requestId.print.tsx:755	ማተም አልተሳካም
src/routes/woreda.credentials.$requestId.index.tsx:2978	ማንሳት አረጋግጥ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:635	ማከል
src/routes/woreda.credentials.$requestId.index.tsx:2940	ማገድ ማረጋገጫ
src/routes/woreda.credentials.$requestId.index.tsx:2940	ማገድ ማንሳት ማረጋገጫ
src/routes/woreda.credentials.$requestId.index.tsx:2978	ማገድ አረጋግጥ
src/routes/woreda.credentials.$requestId.index.tsx:2922	ማገድ አንሳ
src/routes/woreda.reports.index.tsx:231	ማጣሪያ ሰርዝ
src/routes/woreda.reports.index.tsx:112	ማጣሪያ ተቀምጧል
src/routes/woreda.reports.index.tsx:96	ማጣሪያ ተተግብሯል
src/routes/woreda.rental-houses.index.tsx:251	ማጣሪያ አልተተገበረም
src/routes/woreda.reports.index.tsx:214	ማጣሪያ አስቀምጥ
src/routes/woreda.reports.index.tsx:202	ማጣሪያ ይቀይሩ
src/routes/woreda.rental-accounts.$occupancyId.tsx:981	ማጣቀሻ ቁጥር
src/routes/woreda.credentials.$requestId.index.tsx:107	ማጽደቅ በመጠበቅ
src/routes/woreda.dashboard.tsx:79	ማጽደቅ ተመልሷል
src/routes/woreda.civil.$eventId.tsx:448	ማጽደቅ አልተሳካም
src/routes/woreda.civil.$eventId.tsx:897	ማጽደቅ ክስተቱን ይመዘግባል እና ከወገኖቹ ጋር ያገናኘዋል፤ ክፍያ ምዝገባውን ያጠናቅቃል።
src/routes/woreda.dashboard.tsx:749	ማጽደቅ የሚጠብቁ የመታወቂያ ጥያቄዎች
src/routes/woreda.settings.woreda-configuration.tsx:871	ማጽደቅ ይፈለጋል
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:749	ማፅደቅ በዚህ ንብረት ላይ አዲስ ንቁ ኪራይ ይከፍታል።
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:317	ማፅደቅ አልተሳካም
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:742	ማፅደቅ የአሁኑን ንቁ ኪራይ ይዘጋል እና ቤቱን ክፍት ያደርገዋል።
src/routes/woreda.settings.woreda-configuration.tsx:679	ሜባ
src/routes/woreda.rental-houses.occupants.new.tsx:228	ሜባ ይበልጣል
src/routes/woreda.rental-houses.occupants.new.tsx:761	ምረጥ
src/components/verification/HararildScanner.tsx:309	ምስል ስቀል
src/routes/woreda.settings.woreda-configuration.tsx:722	ምስል አዘምን
src/components/verification/HararildScanner.tsx:369	ምስል እዚህ ይጣሉ ወይም ጠቅ ያድርጉ
src/routes/woreda.settings.woreda-configuration.tsx:714	ምስል ጫን
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:712	ምን መስተካከል እንዳለበት ያብራሩ
src/routes/woreda.credentials.new.tsx:1020	ምን እንደተሳሳተ እና ምን መሆን እንዳለበት ያብራሩ
src/routes/woreda.households.index.tsx:688	ምንም ለውጥ አልተመዘገበም
src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:373	ምንም መዝገብ የለም
src/routes/woreda.audit.tsx:336	ምንም ማጣሪያ አልተተገበረም
src/routes/woreda.dashboard.tsx:812	ምንም ቀበሌዎች የሉም
src/components/residents/ResidentActions.tsx:525	ምንም አልተገኘም
src/routes/woreda.dashboard.tsx:777	ምንም አስቸኳይ ተግባር የለም
src/routes/woreda.rental-houses.occupants.new.tsx:899	ምንም አባል አልተጨመረም
src/routes/woreda.households.$householdId.print.tsx:254	ምንም አባል የለም
src/routes/woreda.dashboard.tsx:923	ምንም እንቅስቃሴ የለም
src/routes/woreda.revenue.index.tsx:438	ምንም ክፍያ አልተገኘም
src/components/forms/ResidentSearchPicker.tsx:149	ምንም ውጤት የለም
src/components/settings/CustomRolesTab.tsx:114	ምንም ዝግጁ ሚና የለም
src/components/residents/ResidentProfileTabs.tsx:453	ምንም የኩነት መዝገብ አልተገኘም
src/routes/woreda.credentials.$requestId.index.tsx:1070	ምንም ድግግሞሽ አልተገኘም
src/routes/woreda.civil.$eventId.tsx:377	ምክንያቱ ቢያንስ 5 ፊደላት ሊኖረው ይገባል
src/routes/woreda.civil.$eventId.tsx:1060	ምክንያት ያስገቡ (ቢያንስ 5 ፊደላት)። መዝጋቢው እንደገና ማስገባት ይችላል።
src/routes/woreda.credentials.$requestId.index.tsx:1281	ምክንያት ያስገቡ፣ ለመቀበያ ባለሙያው ይታያል
src/routes/woreda.credentials.$requestId.index.tsx:1360	ምክንያት ያስገቡ፣ ለክሌርኩ ይታያል
src/routes/woreda.rental-houses.occupants.new.tsx:512	ምዝገባውን ያረጋግጡ
src/routes/woreda.dashboard.tsx:113	ሞጁል ተቀይሯል
src/routes/login.tsx:206	ሥርዓቱ በሙሉ ዝግጁ ነው
src/routes/woreda.dashboard.tsx:620	ሩብ አመት
src/routes/woreda.dashboard.tsx:620	ሩብ ዓመት
src/routes/woreda.reports.$reportType.print.tsx:267	ሪፖርት ቁ.
src/lib/residentConstants.ts:33	ራስ ሰራተኛ
src/routes/woreda.credentials.$requestId.index.tsx:2554	ርክክብ አረጋግጥ
src/utils/amountInWords.ts:96	ሰላሳ
src/utils/amountInWords.ts:96	ሰማንያ
src/routes/woreda.rental-houses.$houseId.index.tsx:671	ሰርዝ
src/utils/amountInWords.ts:96	ሰባ
src/utils/amountInWords.ts:83	ሰባት
src/routes/woreda.services.$requestId.index.tsx:622	ሰነድ አልተያያዘም
src/components/residents/ResidentProfileTabs.tsx:925	ሰነድ አልተጫነም
src/routes/woreda.rental-houses.occupants.new.tsx:498	ሰነድ እየተላከ
src/routes/woreda.credentials.$requestId.index.tsx:971	ሰነድ ያስፈልጋል
src/routes/woreda.credentials.$requestId.index.tsx:881	ሰነድ ይመልከቱ
src/lib/credentialWorkflowSchemas.ts:14	ሰነድ ይጎድላል
src/routes/woreda.services.$requestId.index.tsx:666	ሰነድ ጨምር
src/components/residents/ResidentProfileTabs.tsx:905	ሰነድ ጫን
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:45	ሰነዶች ተሟልተዋል
src/utils/ethiopianCalendar.ts:17	ሰኔ
src/routes/woreda.dashboard.tsx:901	ሰዓት
src/routes/woreda.residents.$residentId.index.tsx:952	ሰዓት በፊት
src/routes/admin.tenants.$woredaId.provision.tsx:229	ሰዓት ዞን
src/lib/residentConstants.ts:6	ሱማሌ
src/components/layout/AppShell.tsx:81	ሱፐር አስተዳዳሪ
src/routes/woreda.reports.index.tsx:130	ሲ.ኤስ.ቪ ወርዷል
src/routes/login.tsx:218	ሲስተም ዝግጁ ነው
src/lib/residentConstants.ts:8	ሲዳማ
src/routes/woreda.dashboard.tsx:618	ሳምንታዊ
src/utils/amountInWords.ts:150	ሳንቲም
src/utils/amountInWords.ts:96	ስልሳ
src/routes/woreda.rental-houses.occupants.new.tsx:683	ስም ወይም መለያ ቁጥር ይጻፉ
src/utils/amountInWords.ts:83	ስምንት
src/lib/residentConstants.ts:35	ስራ አጥ
src/utils/amountInWords.ts:83	ስድስት
src/utils/amountInWords.ts:83	ሶስት
src/utils/amountInWords.ts:7	ሺህ
src/routes/woreda.rental-accounts.$occupancyId.tsx:578	ቀሪ ደረሰኝ
src/routes/woreda.rental-reports.tsx:33	ቀርቧል
src/routes/woreda.services.$requestId.print.tsx:97	ቀበሌ ውስጥ ነዋሪ መሆኑን/መሆኗን እናረጋግጣለን። ይህ ደብዳቤ
src/components/workflow/WorkflowQueueTable.tsx:116	ቀናት
src/lib/letterTemplate.ts:11	ቀን (ኢት.
src/lib/letterTemplate.ts:12	ቀን (ግሪጎሪያን
src/routes/woreda.residents.$residentId.index.tsx:954	ቀን በፊት
src/components/residents/ResidentActions.tsx:263	ቀይር (ኢ-ንቁ
src/routes/woreda.credentials.$requestId.index.tsx:2500	ቀዳሚ ማስረጃ
src/routes/woreda.credentials.new.tsx:102	ቀዳሚ ማስረጃ ይምረጡ
src/routes/woreda.residents.$residentId.edit.tsx:338	ቀጣይ
src/routes/woreda.credentials.$requestId.print.tsx:194	ቁመት
src/routes/woreda.dashboard.tsx:98	ቅንብሮች ተሻሽለዋል
src/components/credentials/CredentialQueueTable.tsx:81	ቅድመ እይታ
src/routes/woreda.credentials.$requestId.print.tsx:1213	ቅድመ ዕይታ
src/routes/woreda.credentials.$requestId.index.tsx:2183	ቅድመ ዕይታ እና ህትመት
src/routes/woreda.dashboard.tsx:742	ቅድሚያ የሚሰጣቸው ተግባራት
src/routes/woreda.dashboard.tsx:112	ቅጽ ታትሟል
src/lib/credentialWorkflowSchemas.ts:24	ቆሻሻ ቅጂ
src/routes/admin.audit.tsx:344	በሁሉም ወረዳዎች ውስጥ ያሉ እንቅስቃሴዎች
src/components/common/StatusChip.tsx:64	በህትመት ላይ
src/routes/woreda.households.index.tsx:617	በመንጠቅ ሁኔታ ይቀየራል።
src/routes/woreda.services.$requestId.index.tsx:697	በመጫን ላይ...
src/routes/woreda.rental-houses.occupants.new.tsx:694	በመፈለግ ላይ
src/routes/woreda.rental-reports.tsx:309	በማለፊያ ታልፏል
src/components/verification/HararildScanner.tsx:399	በማረጋገጥ ላይ
src/components/credentials/KpiWidgetRow.tsx:34	በማረጋገጫ ላይ
src/routes/woreda.rental-houses.new.tsx:191	በማስቀመጥ ላይ
src/components/credentials/KpiWidgetRow.tsx:41	በማጽደቅ ላይ
src/routes/woreda.credentials.$requestId.index.tsx:1356	በማጽደቅ ደረጃ ይመልሱ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:705	በምክንያት ይመልሱ (አማራጭ
src/routes/woreda.credentials.$requestId.index.tsx:1507	በሞባይል
src/components/print/PrintDocumentShell.tsx:490	በራስ-ሰር የተዘጋጀ ሰነድ
src/routes/woreda.dashboard.tsx:618	በሳምንት
src/routes/woreda.rental-houses.occupants.new.tsx:677	በስም / በመለያ ቁጥር ይፈልጉ
src/routes/woreda.rental-houses.$houseId.index.tsx:617	በስም / በመታወቂያ ይፈልጉ
src/components/common/ComingSoon.tsx:15	በቅርቡ ይመጣል
src/routes/woreda.residents.$residentId.index.tsx:1032	በቅርቡ ይሟላል
src/routes/woreda.services.new.tsx:616	በታች
src/routes/woreda.credentials.$requestId.print.tsx:1090	በትክክል ታትሟል
src/routes/woreda.settings.woreda-configuration.tsx:338	በነዋሪ መታወቂያ ካርድ ላይ
src/routes/woreda.rental-houses.occupants.new.tsx:848	በአመት
src/routes/woreda.services.$requestId.print.tsx:187	በአክብሮት፣
src/components/common/DocumentViewerDialog.tsx:113	በአዲስ ትር ክፈት
src/routes/woreda.credentials.$requestId.print.tsx:1075	በአግባቡ ያልታተመውን ካርድ ወዲያውኑ ያጥፉ። ተመሳሳይ የ
src/routes/woreda.rental-houses.$houseId.index.tsx:56	በአጽዳቂ ተመልሷል
src/routes/woreda.approvals.tsx:113	በእርስዎ እርምጃ የሚጠብቁ ጥያቄዎች በሙሉ በአንድ ቦታ
src/routes/admin.tenants.index.tsx:326	በወረዳ ስም ወይም ኮድ ይፈልጉ
src/routes/woreda.dashboard.tsx:837	በወረዳው
src/routes/woreda.dashboard.tsx:619	በወር
src/routes/woreda.rental-accounts.$occupancyId.tsx:685	በዕቅድ ውስጥ
src/components/common/TableStates.tsx:33	በዚህ ማጣሪያ ምንም አልተገኘም
src/components/residents/ResidentProfileTabs.tsx:715	በዚህ ማጣሪያ ምንም እንቅስቃሴ የለም
src/routes/woreda.residents.$residentId.index.tsx:617	በዚህ ቤት ውስጥ ሌላ አባል የለም
src/routes/woreda.households.$householdId.index.tsx:408	በዚህ ቤት ውስጥ የተመዘገበ ነዋሪ የለም
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:666	በዚህ ንብረት ላይ መጀመሪያ የመተውን ጥያቄ ያፅድቁ፣ ከዚያ ይህ ጥያቄ ሊፀድቅ ይችላል።
src/components/credentials/KpiWidgetRow.tsx:77	በዚህ ወር ውድቅ የተደረጉ
src/components/credentials/KpiWidgetRow.tsx:62	በዚህ ወር የተሰጡ
src/routes/woreda.services.$requestId.index.tsx:1065	በዚህ ደረጃ እርምጃ ለመውሰድ ፈቃድ አልተሰጠዎትም
src/routes/woreda.revenue.index.tsx:293	በዚያ ገጽ ላይ ያለውን የአትም አዝራር ይጠቀሙ
src/routes/woreda.rental-houses.occupants.new.tsx:847	በየሩብ አመት
src/routes/woreda.rental-houses.occupants.new.tsx:846	በየወሩ
src/routes/woreda.reports.$reportType.print.tsx:162	በጊዜው የተሰጡ
src/routes/woreda.credentials.$requestId.index.tsx:105	በግምገማ
src/routes/woreda.rental-houses.$houseId.index.tsx:53	በግምገማ ላይ
src/routes/woreda.rental-houses.occupants.new.tsx:998	በጠረት ላይ
src/routes/woreda.audit.tsx:613	በፊት
src/routes/woreda.revenue.$paymentId.receipt.tsx:876	በፊደል
src/routes/woreda.credentials.new.tsx:805	ቢሆንም ለመቀጠል እወቅበታለሁ
src/utils/amountInWords.ts:97	ቢሊዮን
src/routes/woreda.rental-houses.occupants.new.tsx:688	ቢያንስ 2 ፊደል ያስገቡ
src/routes/woreda.credentials.new.tsx:119	ቢያንስ አንድ የሚስተካከል መስክ ይምረጡ
src/routes/woreda.households.new.tsx:190	ቤተሰብ መዝግብ
src/routes/woreda.credentials.$requestId.index.tsx:132	ቤተሰብ በትክክል ተረጋግጧል
src/routes/woreda.dashboard.tsx:55	ቤተሰብ ተመዝግቧል
src/routes/woreda.households.$householdId.index.tsx:210	ቤተሰብ አልተገኘም
src/routes/woreda.households.index.tsx:614	ቤተሰብ ኢ-ንቁ አድርግ
src/routes/woreda.audit.tsx:131	ቤተሰብ ክፈት
src/routes/woreda.dashboard.tsx:58	ቤተሰብ ወደ ኢ-ንቁ ተቀይሯል
src/routes/woreda.audit.tsx:134	ቤተሰቦችን ክፈት
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:662	ቤቱ ተይዟል
src/routes/woreda.rental-houses.$houseId.edit.tsx:117	ቤቱ አልተገኘም ወይም ማዘመን አልተቻለም
src/routes/woreda.rental-houses.$houseId.index.tsx:218	ቤት ቁ.
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:43	ቤት ክፍት ነው
src/routes/woreda.dashboard.tsx:87	ቤት የመልቀቅ ጥያቄ ገብቷል
src/routes/woreda.rental-houses.occupants.new.tsx:617	ብቁ ነው
src/routes/woreda.rental-houses.occupants.new.tsx:594	ብቁነት በመመርመር ላይ
src/routes/woreda.settings.woreda-configuration.tsx:674	ብቻ ይፈቀዳል
src/routes/woreda.credentials.new.tsx:1035	ብቻ፣ ከ
src/components/common/StatusChip.tsx:80	ቦዝኗል
src/routes/woreda.rental-houses.occupants.new.tsx:887	ተ.ቁ
src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:68	ተለቋል
src/components/common/DetailHeader.tsx:25	ተመለስ
src/routes/woreda.rental-accounts.$occupancyId.tsx:699	ተመላሽ
src/routes/woreda.rental-accounts.$occupancyId.tsx:1140	ተመላሽ አድርግ
src/routes/woreda.credentials.$requestId.index.tsx:1288	ተመላሽ የሆነበት ምክንያት
src/routes/woreda.rental-reports.tsx:348	ተመላሽ የተደረገ
src/components/layout/AppShell.tsx:88	ተመልካች
src/routes/woreda.civil.birth.new.tsx:444	ተመሳሳይ ልደት በዚህ ወረዳ ተመዝግቧል
src/routes/woreda.civil.$eventId.tsx:91	ተመሳሳይ ምዝገባ የለም
src/routes/woreda.civil.birth.new.tsx:447	ተመሳሳይ የልጅ ስም እና የልደት ቀን ቀደም ብሎ ተመዝግቧል፦
src/lib/residentConstants.ts:36	ተማሪ
src/routes/woreda.credentials.$requestId.index.tsx:2484	ተረካቢ
src/routes/woreda.services.$requestId.index.tsx:818	ተረጋግጧል፤ ለማጽደቅ በመጠባበቅ ላይ
src/routes/woreda.civil.$eventId.tsx:855	ተረጋግጧል፤ ለማጽደቅ ይላኩ።
src/routes/woreda.settings.woreda-configuration.tsx:695	ተሰቅሏል
src/routes/woreda.services.$requestId.index.tsx:969	ተሰጥቷል ብለው መዝግቡ
src/components/residents/ResidentProfileTabs.tsx:649	ተሻሽሏል
src/lib/residentConstants.ts:32	ተቀጣሪ
src/components/layout/AppShell.tsx:86	ተቆጣጣሪ
src/routes/woreda.civil.$eventId.tsx:846	ተቆጣጣሪ ወደ ማጽደቂያ ወረፋ እስኪያስገባው ድረስ በመጠባበቅ ላይ።
src/routes/woreda.rental-houses.$houseId.index.tsx:46	ተቋርጧል
src/routes/woreda.civil.$eventId.tsx:886	ተብሎ ይመዘገባል።
src/components/common/StatusChip.tsx:79	ተተክቷል
src/routes/woreda.rental-houses.index.tsx:320	ተከራይ መዝግብ
src/routes/woreda.rental-houses.$houseId.index.tsx:271	ተከራይ ይመድቡ
src/routes/woreda.credentials.$requestId.index.tsx:2163	ተከታታይ ቁጥር
src/routes/woreda.credentials.index.tsx:150	ተዘጋጅቷል
src/routes/woreda.rental-houses.occupants.new.tsx:549	ተያይዘዋል
src/routes/woreda.credentials.$requestId.print.tsx:1169	ተደጋጋሚ ህትመት
src/routes/woreda.audit.tsx:419	ተግባር፣ ክፍል፣ ወይም መለያ
src/components/settings/UsersRolesTab.tsx:365	ተጠሪነት
src/routes/woreda.dashboard.tsx:99	ተጠቃሚ ታግዷል
src/components/settings/UsersRolesTab.tsx:351	ተጠቃሚ ጨምር
src/components/settings/UsersRolesTab.tsx:561	ተጠቃሚን ማገድ
src/routes/woreda.audit.tsx:196	ተጠቃሚዎችና ፈቃዶች ክፈት
