Amharic,English,Occurrences,Example Location,Context,All Locations
መረጃ ሰጪ,Informant,5,src/routes/woreda.civil.$eventId.tsx:710,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:710; src/routes/woreda.civil.birth.new.tsx:408; src/routes/woreda.civil.death.new.tsx:269; src/routes/woreda.civil.divorce.new.tsx:303; src/routes/woreda.civil.marriage.new.tsx:287
ማስታወሻ,Notes,5,src/routes/woreda.civil.$eventId.tsx:726,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:726; src/routes/woreda.civil.birth.new.tsx:402; src/routes/woreda.civil.death.new.tsx:263; src/routes/woreda.civil.divorce.new.tsx:297; src/routes/woreda.civil.marriage.new.tsx:281
ስም,Full Name,5,src/routes/v.$token.tsx:300,labelAm/labelEn prop pair,src/routes/v.$token.tsx:300; src/routes/woreda.civil.birth.new.tsx:411; src/routes/woreda.civil.death.new.tsx:272; src/routes/woreda.civil.divorce.new.tsx:306; src/routes/woreda.civil.marriage.new.tsx:290
ብሔር,Ethnicity,5,src/components/forms/ResidentWizardSteps.tsx:468,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:468; src/routes/woreda.civil.$eventId.tsx:567; src/routes/woreda.civil.birth.new.tsx:331; src/routes/woreda.residents.$residentId.index.tsx:503; src/routes/woreda.residents.$residentId.print.tsx:237
ተረጋግጧል,Verified,5,src/components/credentials/CredentialQueueTable.tsx:99,string literal,src/components/credentials/CredentialQueueTable.tsx:99; src/lib/serviceConstants.ts:9; src/routes/woreda.civil.$eventId.tsx:340; src/routes/woreda.civil.index.tsx:53; src/routes/woreda.rental-houses.requests.$requestId.index.tsx:281
ዓይነት,Type,5,src/components/workflow/WorkflowQueueTable.tsx:174,string literal,src/components/workflow/WorkflowQueueTable.tsx:174; src/routes/woreda.civil.index.tsx:277; src/routes/woreda.credentials.index.tsx:86; src/routes/woreda.revenue.$paymentId.receipt.tsx:782; src/routes/woreda.revenue.index.tsx:212
የመንግስት,Government,5,src/hooks/useReportsAggregate.ts:66,string literal,src/hooks/useReportsAggregate.ts:66; src/routes/woreda.households.$householdId.index.tsx:68; src/routes/woreda.households.$householdId.print.tsx:30; src/routes/woreda.households.index.tsx:342; src/routes/woreda.residents.$residentId.print.tsx:169
የሰነድ ማጣቀሻ,Document Reference,5,src/routes/woreda.credentials.$requestId.certificate.tsx:119,string literal,src/routes/woreda.credentials.$requestId.certificate.tsx:119; src/routes/woreda.households.$householdId.print.tsx:166; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:214; src/routes/woreda.reports.$reportType.print.tsx:276; src/routes/woreda.residents.$residentId.print.tsx:201
የቀበሌ,Kebele,5,src/hooks/useReportsAggregate.ts:64,string literal,src/hooks/useReportsAggregate.ts:64; src/routes/woreda.households.$householdId.index.tsx:66; src/routes/woreda.households.$householdId.print.tsx:28; src/routes/woreda.households.index.tsx:340; src/routes/woreda.residents.$residentId.print.tsx:167
የኪራይ,Rental,5,src/hooks/useReportsAggregate.ts:65,string literal,src/hooks/useReportsAggregate.ts:65; src/routes/woreda.households.$householdId.index.tsx:67; src/routes/woreda.households.$householdId.print.tsx:29; src/routes/woreda.households.index.tsx:341; src/routes/woreda.residents.$residentId.print.tsx:168
የግል,Private,5,src/hooks/useReportsAggregate.ts:63,string literal,src/hooks/useReportsAggregate.ts:63; src/routes/woreda.households.$householdId.index.tsx:65; src/routes/woreda.households.$householdId.print.tsx:27; src/routes/woreda.households.index.tsx:339; src/routes/woreda.residents.$residentId.print.tsx:166
ሙሉ ስም,Full Name,4,src/components/admin/PlatformUsersTab.tsx:214,string literal,src/components/admin/PlatformUsersTab.tsx:214; src/routes/woreda.credentials.$requestId.certificate.tsx:131; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:257; src/routes/woreda.residents.$residentId.print.tsx:223
ማረጋገጫ,Certification,4,src/routes/woreda.households.$householdId.print.tsx:283,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.print.tsx:283; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:411; src/routes/woreda.reports.$reportType.print.tsx:315; src/routes/woreda.residents.$residentId.print.tsx:308
ስልክ,Phone (9 digits after +251),4,src/routes/woreda.civil.birth.new.tsx:422,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:422; src/routes/woreda.civil.death.new.tsx:283; src/routes/woreda.civil.divorce.new.tsx:314; src/routes/woreda.civil.marriage.new.tsx:298
ስልክ ቁጥር,Phone,4,src/routes/woreda.households.$householdId.print.tsx:191,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.print.tsx:191; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:288; src/routes/woreda.residents.$residentId.print.tsx:255; src/routes/woreda.settings.woreda-configuration.tsx:348
ተመልሷል,Returned,4,src/components/credentials/CredentialQueueTable.tsx:102,string literal,src/components/credentials/CredentialQueueTable.tsx:102; src/lib/serviceConstants.ts:10; src/routes/woreda.civil.$eventId.tsx:376; src/routes/woreda.civil.index.tsx:59
አድራሻ,Address,4,src/routes/woreda.households.$householdId.print.tsx:197,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.print.tsx:197; src/routes/woreda.rental-houses.$houseId.edit.tsx:153; src/routes/woreda.rental-houses.new.tsx:144; src/routes/woreda.residents.$residentId.print.tsx:278
ኪራይ በግለሰብ,Rented by Private,4,src/hooks/useReportsAggregate.ts:67,string literal,src/hooks/useReportsAggregate.ts:67; src/routes/woreda.households.$householdId.index.tsx:69; src/routes/woreda.households.$householdId.print.tsx:31; src/routes/woreda.residents.$residentId.print.tsx:170
ክፍለ ጊዜ ጠፍቷል,Missing session,4,src/routes/woreda.civil.birth.new.tsx:248,toast: error,src/routes/woreda.civil.birth.new.tsx:248; src/routes/woreda.civil.death.new.tsx:176; src/routes/woreda.civil.divorce.new.tsx:188; src/routes/woreda.civil.marriage.new.tsx:180
ወደፊት መሆን አይችልም,Cannot be in future,4,src/routes/woreda.civil.birth.new.tsx:46,string literal,src/routes/woreda.civil.birth.new.tsx:46; src/routes/woreda.civil.death.new.tsx:34; src/routes/woreda.civil.divorce.new.tsx:44; src/routes/woreda.civil.marriage.new.tsx:42
የቤቱን አድራሻ ካርታ ላይ ይምረጡ,Select the house address on the map.,4,src/lib/householdSchema.ts:38,string literal,src/lib/householdSchema.ts:38; src/lib/householdSchema.ts:40; src/lib/householdSchema.ts:43; src/lib/householdSchema.ts:45
የትውልድ ቀን,Date of Birth,4,src/routes/woreda.civil.birth.new.tsx:321,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:321; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:274; src/routes/woreda.residents.$residentId.index.tsx:481; src/routes/woreda.residents.$residentId.print.tsx:230
ጾታ,Gender,4,src/routes/woreda.credentials.$requestId.certificate.tsx:139,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:139; src/routes/woreda.credentials.$requestId.print.tsx:1461; src/routes/woreda.residents.$residentId.index.tsx:493; src/routes/woreda.residents.$residentId.print.tsx:226
ፆታ,Sex,4,src/routes/woreda.civil.$eventId.tsx:560,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:560; src/routes/woreda.civil.$eventId.tsx:633; src/routes/woreda.civil.birth.new.tsx:313; src/routes/woreda.civil.death.new.tsx:228
ፋይሉን መክፈት አልተቻለም,Could not open the file,4,src/components/forms/ResidentWizardSteps.tsx:251,toast: error,src/components/forms/ResidentWizardSteps.tsx:251; src/components/residents/ResidentProfileTabs.tsx:845; src/routes/woreda.households.$householdId.index.tsx:661; src/routes/woreda.services.$requestId.index.tsx:411
ልዩ ቦታ,Area Name,3,src/components/forms/ResidentWizardSteps.tsx:685,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:685; src/components/forms/ResidentWizardSteps.tsx:741; src/components/forms/ResidentWizardSteps.tsx:813
ልደት,Birth,3,src/hooks/useReportsAggregate.ts:39,string literal,src/hooks/useReportsAggregate.ts:39; src/routes/woreda.civil.index.tsx:44; src/routes/woreda.civil.index.tsx:64
ማስቀመጥ አልተሳካም,Save failed,3,src/routes/woreda.settings.woreda-configuration.tsx:279,toast: error,src/routes/woreda.settings.woreda-configuration.tsx:279; src/routes/woreda.settings.woreda-configuration.tsx:1085; src/routes/woreda.settings.woreda-configuration.tsx:1409
ሞት,Death,3,src/hooks/useReportsAggregate.ts:40,string literal,src/hooks/useReportsAggregate.ts:40; src/routes/woreda.civil.index.tsx:45; src/routes/woreda.civil.index.tsx:65
ስልክ,Phone,3,src/routes/woreda.residents.$residentId.index.tsx:512,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.index.tsx:512; src/routes/woreda.services.$requestId.index.tsx:548; src/routes/woreda.services.new.tsx:381
ተቀምጧል,Saved,3,src/components/settings/CustomRolesTab.tsx:285,toast: success,src/components/settings/CustomRolesTab.tsx:285; src/components/settings/RolesPermissionsTab.tsx:173; src/routes/woreda.settings.woreda-configuration.tsx:1082
ተከፍሏል,Paid,3,src/components/credentials/CredentialQueueTable.tsx:106,string literal,src/components/credentials/CredentialQueueTable.tsx:106; src/lib/serviceConstants.ts:16; src/routes/woreda.civil.index.tsx:57
ተይዟል,Occupied,3,src/hooks/useReportsAggregate.ts:46,string literal,src/hooks/useReportsAggregate.ts:46; src/routes/woreda.households.index.tsx:324; src/routes/woreda.reports.$reportType.print.tsx:222
ቻናል,Channel,3,src/routes/verify.receipt.$token.tsx:147,labelAm/labelEn prop pair,src/routes/verify.receipt.$token.tsx:147; src/routes/woreda.revenue.$paymentId.receipt.tsx:783; src/routes/woreda.revenue.index.tsx:214
ኃይማኖት,Religion,3,src/components/forms/ResidentWizardSteps.tsx:442,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:442; src/routes/woreda.civil.$eventId.tsx:570; src/routes/woreda.civil.birth.new.tsx:341
ንቁ,Active,3,src/components/credentials/CredentialQueueTable.tsx:108,string literal,src/components/credentials/CredentialQueueTable.tsx:108; src/hooks/useReportsAggregate.ts:27; src/routes/woreda.residents.index.tsx:420
አገልግሎት,Service,3,src/components/services/ServiceRequestList.tsx:246,string literal,src/components/services/ServiceRequestList.tsx:246; src/routes/woreda.approvals.tsx:37; src/routes/woreda.services.new.tsx:303
እርማት,Correction,3,src/components/credentials/CredentialQueueTable.tsx:26,string literal,src/components/credentials/CredentialQueueTable.tsx:26; src/routes/woreda.credentials.$requestId.index.tsx:94; src/routes/woreda.credentials.index.tsx:29
እድሳት,Renewal,3,src/components/credentials/CredentialQueueTable.tsx:22,string literal,src/components/credentials/CredentialQueueTable.tsx:22; src/routes/woreda.credentials.$requestId.index.tsx:90; src/routes/woreda.credentials.index.tsx:25
ክልል,Region,3,src/components/forms/ResidentWizardSteps.tsx:651,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:651; src/components/forms/ResidentWizardSteps.tsx:726; src/components/forms/ResidentWizardSteps.tsx:791
ክፍያ,Fee,3,src/components/services/ServiceRequestList.tsx:258,string literal,src/components/services/ServiceRequestList.tsx:258; src/routes/woreda.services.$requestId.index.tsx:581; src/routes/woreda.services.new.tsx:328
ክፍያው ሊጠየቅ አልቻለም,Could not raise the fee — the request may have been moved by someone else,3,src/lib/offlineSync.ts:223,string literal,src/lib/offlineSync.ts:223; src/routes/woreda.credentials.$requestId.index.tsx:1669; src/routes/woreda.services.$requestId.index.tsx:1168
ክፍያው ተመዝግቧል,Payment recorded,3,src/routes/woreda.civil.$eventId.tsx:1258,toast: success,src/routes/woreda.civil.$eventId.tsx:1258; src/routes/woreda.credentials.$requestId.index.tsx:1737; src/routes/woreda.services.$requestId.index.tsx:1258
ውድቅ ተደርጓል,Rejected,3,src/components/credentials/CredentialQueueTable.tsx:104,string literal,src/components/credentials/CredentialQueueTable.tsx:104; src/lib/serviceConstants.ts:14; src/routes/woreda.civil.$eventId.tsx:450
ዞን,Zone,3,src/components/forms/ResidentWizardSteps.tsx:661,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:661; src/components/forms/ResidentWizardSteps.tsx:729; src/components/forms/ResidentWizardSteps.tsx:801
የመኝታ ክፍሎች,Bedrooms,3,src/routes/woreda.rental-houses.$houseId.edit.tsx:164,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.edit.tsx:164; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:238; src/routes/woreda.rental-houses.new.tsx:162
የተሰረቀ,Stolen,3,src/components/credentials/CredentialQueueTable.tsx:25,string literal,src/components/credentials/CredentialQueueTable.tsx:25; src/routes/woreda.credentials.$requestId.index.tsx:93; src/routes/woreda.credentials.index.tsx:28
የተበላሸ,Damaged,3,src/components/credentials/CredentialQueueTable.tsx:24,string literal,src/components/credentials/CredentialQueueTable.tsx:24; src/routes/woreda.credentials.$requestId.index.tsx:92; src/routes/woreda.credentials.index.tsx:27
የትውልድ ቦታ,Place of Birth,3,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:283,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:283; src/routes/woreda.residents.$residentId.index.tsx:488; src/routes/woreda.residents.$residentId.print.tsx:232
የጠፋ,Lost,3,src/components/credentials/CredentialQueueTable.tsx:23,string literal,src/components/credentials/CredentialQueueTable.tsx:23; src/routes/woreda.credentials.$requestId.index.tsx:91; src/routes/woreda.credentials.index.tsx:26
ያስፈልጋል,Required,3,src/routes/woreda.settings.woreda-configuration.tsx:997,string literal,src/routes/woreda.settings.woreda-configuration.tsx:997; src/routes/woreda.settings.woreda-configuration.tsx:998; src/routes/woreda.settings.woreda-configuration.tsx:999
ገብቷል,Submitted,3,src/components/credentials/CredentialQueueTable.tsx:97,string literal,src/components/credentials/CredentialQueueTable.tsx:97; src/lib/serviceConstants.ts:7; src/routes/woreda.civil.index.tsx:51
ጋብቻ,Marriage,3,src/hooks/useReportsAggregate.ts:41,string literal,src/hooks/useReportsAggregate.ts:41; src/routes/woreda.civil.index.tsx:46; src/routes/woreda.civil.index.tsx:66
ፀድቋል,Approved,3,src/components/credentials/CredentialQueueTable.tsx:101,string literal,src/components/credentials/CredentialQueueTable.tsx:101; src/lib/serviceConstants.ts:13; src/routes/woreda.civil.index.tsx:55
ፋይል ከ5MB መብለጥ የለበትም,File must be under 5MB,3,src/components/forms/ResidentWizardSteps.tsx:287,toast: error,src/components/forms/ResidentWizardSteps.tsx:287; src/routes/woreda.credentials.new.tsx:338; src/routes/woreda.credentials.new.tsx:372
ፍቺ,Divorce,3,src/hooks/useReportsAggregate.ts:42,string literal,src/hooks/useReportsAggregate.ts:42; src/routes/woreda.civil.index.tsx:47; src/routes/woreda.civil.index.tsx:67
${label} ያስፈልጋል,${label} required,2,src/lib/residentSchema.ts:12,string literal,src/lib/residentSchema.ts:12; src/routes/woreda.civil.birth.new.tsx:31
>ሁኔታ<,span>{,2,src/routes/woreda.households.index.tsx:379,UI text,src/routes/woreda.households.index.tsx:379; src/routes/woreda.residents.index.tsx:474
>ሙሉ ስም<,span>{,2,src/routes/woreda.rental-houses.$houseId.index.tsx:531,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:531; src/routes/woreda.residents.index.tsx:458
>ቀበሌ<,span>{,2,src/routes/woreda.households.index.tsx:363,UI text,src/routes/woreda.households.index.tsx:363; src/routes/woreda.residents.index.tsx:470
>የተሻሻለበት<,span>{,2,src/routes/woreda.households.index.tsx:383,UI text,src/routes/woreda.households.index.tsx:383; src/routes/woreda.residents.index.tsx:478
PDF፣ JPG ወይም PNG ብቻ,"Only PDF, JPG or PNG",2,src/components/forms/ResidentWizardSteps.tsx:292,toast: error,src/components/forms/ResidentWizardSteps.tsx:292; src/routes/woreda.credentials.new.tsx:343
ሁለቱም,Both,2,src/hooks/useReportsAggregate.ts:57,string literal,src/hooks/useReportsAggregate.ts:57; src/routes/woreda.credentials.$requestId.index.tsx:100
መሰረታዊ መረጃ,Basic Information,2,src/components/forms/HouseholdFormFields.tsx:87,titleAm/titleEn prop pair,src/components/forms/HouseholdFormFields.tsx:87; src/routes/woreda.households.$householdId.index.tsx:297
ሙያ,Occupation,2,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:294,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:294; src/routes/woreda.residents.$residentId.print.tsx:296
ሚና,Role,2,src/components/admin/PlatformUsersTab.tsx:216,string literal,src/components/admin/PlatformUsersTab.tsx:216; src/routes/woreda.audit.tsx:287
ማረጋገጥ አልተቻለም። እባክዎ ደግመው ይሞክሩ።,Verification could not be completed. Please try again.,2,src/routes/verify.letter.$token.tsx:100,string literal,src/routes/verify.letter.$token.tsx:100; src/routes/verify.receipt.$token.tsx:114
ማረጋገጫ,Verification,2,src/routes/woreda.credentials.$requestId.certificate.tsx:176,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:176; src/routes/woreda.rental-houses.requests.$requestId.index.tsx:608
ምክንያቱን ይጻፉ,Enter reason…,2,src/components/residents/ResidentActions.tsx:302,placeholder,src/components/residents/ResidentActions.tsx:302; src/routes/woreda.residents.index.tsx:867
ምክንያት,Grounds,2,src/routes/woreda.civil.$eventId.tsx:702,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:702; src/routes/woreda.civil.divorce.new.tsx:294
ሞቷል,Deceased,2,src/hooks/useReportsAggregate.ts:36,string literal,src/hooks/useReportsAggregate.ts:36; src/routes/woreda.residents.index.tsx:423
ሰርተፍኬት,Certificate,2,src/hooks/useReportsAggregate.ts:56,string literal,src/hooks/useReportsAggregate.ts:56; src/routes/woreda.credentials.$requestId.index.tsx:99
ሲሆን ማስታወሻ ያስፈልጋል (ቢያንስ 5 ፊደላት),A note is required when the reason is,2,src/routes/woreda.credentials.$requestId.index.tsx:467,string literal,src/routes/woreda.credentials.$requestId.index.tsx:467; src/routes/woreda.credentials.$requestId.print.tsx:655
ስህተት,Error: ${(e as Error).message},2,src/routes/woreda.residents.$residentId.edit.tsx:256,toast: error,src/routes/woreda.residents.$residentId.edit.tsx:256; src/routes/woreda.residents.new.tsx:127
ስልክ ቁጥር,Phone Number,2,src/components/forms/HouseholdFormFields.tsx:287,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:287; src/components/forms/ResidentWizardSteps.tsx:457
ስም,Name,2,src/routes/woreda.residents.index.tsx:272,string literal,src/routes/woreda.residents.index.tsx:272; src/utils/tableExport.ts:5
ስፍራ,Place,2,src/routes/woreda.civil.$eventId.tsx:675,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:675; src/routes/woreda.civil.marriage.new.tsx:266
ቀበሌ ይምረጡ,Select a kebele,2,src/lib/householdSchema.ts:6,string literal,src/lib/householdSchema.ts:6; src/routes/woreda.rental-houses.new.tsx:23
ቀን ያስፈልጋል,Date required,2,src/routes/woreda.civil.divorce.new.tsx:43,string literal,src/routes/woreda.civil.divorce.new.tsx:43; src/routes/woreda.civil.marriage.new.tsx:41
ቅሬታዎች ዝርዝር,Complaints,2,src/routes/woreda.settings.woreda-configuration.tsx:477,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:477; src/routes/woreda.settings.woreda-configuration.tsx:494
ቅድሚያ,Priority,2,src/components/services/ServiceRequestList.tsx:253,string literal,src/components/services/ServiceRequestList.tsx:253; src/routes/woreda.services.new.tsx:319
በመጫን ላይ…,Uploading…,2,src/routes/woreda.credentials.new.tsx:1010,string literal,src/routes/woreda.credentials.new.tsx:1010; src/routes/woreda.credentials.new.tsx:1068
በቤት ቁጥር ይፈልጉ,Search by house number…,2,src/components/residents/ResidentActions.tsx:517,placeholder,src/components/residents/ResidentActions.tsx:517; src/routes/woreda.residents.index.tsx:1083
በክለሳ ላይ,Under Review,2,src/components/credentials/CredentialQueueTable.tsx:98,string literal,src/components/credentials/CredentialQueueTable.tsx:98; src/routes/woreda.civil.index.tsx:52
ቤተሰቦች,Households,2,src/routes/woreda.households.index.tsx:273,titleAm/titleEn prop pair,src/routes/woreda.households.index.tsx:273; src/routes/woreda.reports.index.tsx:295
ተከራይ ይምረጡ,Select the occupant,2,src/routes/woreda.rental-houses.occupants.new.tsx:322,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:322; src/routes/woreda.rental-houses.occupants.new.tsx:423
ተጠቃሚው ታግዷል,User suspended,2,src/components/admin/PlatformUsersTab.tsx:278,toast: success,src/components/admin/PlatformUsersTab.tsx:278; src/components/settings/UsersRolesTab.tsx:270
ነዋሪው ታግዷል,Resident suspended,2,src/components/residents/ResidentActions.tsx:121,toast: success,src/components/residents/ResidentActions.tsx:121; src/routes/woreda.residents.index.tsx:686
ነዋሪው ወደ ቤተሰብ ተጨምሯል,Resident added to household,2,src/components/residents/ResidentActions.tsx:487,toast: success,src/components/residents/ResidentActions.tsx:487; src/routes/woreda.residents.index.tsx:1053
ነዋሪው ወደ ንቁ ሁኔታ ተቀይሯል,Resident restored to active,2,src/components/residents/ResidentActions.tsx:179,toast: success,src/components/residents/ResidentActions.tsx:179; src/routes/woreda.residents.index.tsx:744
ነዋሪው ወደ ኢ-ንቁ ሁኔታ ተቀይሯል,Resident set to inactive,2,src/components/residents/ResidentActions.tsx:161,toast: success,src/components/residents/ResidentActions.tsx:161; src/routes/woreda.residents.index.tsx:726
ነዋሪው ዳግም ነቅቷል,Resident reactivated,2,src/components/residents/ResidentActions.tsx:143,toast: success,src/components/residents/ResidentActions.tsx:143; src/routes/woreda.residents.index.tsx:708
ነጻ,Free,2,src/routes/woreda.services.$requestId.index.tsx:586,string literal,src/routes/woreda.services.$requestId.index.tsx:586; src/routes/woreda.services.new.tsx:335
አመልካች,Applicant,2,src/components/services/ServiceRequestList.tsx:241,string literal,src/components/services/ServiceRequestList.tsx:241; src/routes/woreda.services.$requestId.index.tsx:531
አትም,Print,2,src/routes/woreda.households.$householdId.print.tsx:123,string literal,src/routes/woreda.households.$householdId.print.tsx:123; src/routes/woreda.residents.$residentId.print.tsx:147
አዎ,Yes,2,src/routes/woreda.settings.woreda-configuration.tsx:914,string literal,src/routes/woreda.settings.woreda-configuration.tsx:914; src/routes/woreda.settings.woreda-configuration.tsx:917
አዲስ,New,2,src/components/credentials/CredentialQueueTable.tsx:21,string literal,src/components/credentials/CredentialQueueTable.tsx:21; src/routes/woreda.credentials.index.tsx:24
